Mechanism,Noise,Model,Threshold regime,PR AUC,PR AUC DE,F2,Recall,Observed prev.
severity-targeted,0.0,L1-LR supervised,labels,0.7414542028814343,0.0,0.7581967213114754,0.8409090909090909,0.1903435468895079
severity-targeted,0.0,S1 Robust Z-Score (MAD),(a) observed prevalence,0.7295534159180366,0.0,0.7191011235955056,0.7272727272727273,0.1903435468895079
severity-targeted,0.0,S1 Robust Z-Score (MAD),(b) fixed capacity 19%,0.7295534159180366,0.0,0.7191011235955056,0.7272727272727273,0.1903435468895079
severity-targeted,0.0,S3 Sum of z (distress),(a) observed prevalence,0.7710070604637808,0.0,0.6597222222222222,0.6477272727272727,0.1903435468895079
severity-targeted,0.0,S3 Sum of z (distress),(b) fixed capacity 19%,0.7710070604637808,0.0,0.6597222222222222,0.6477272727272727,0.1903435468895079
severity-targeted,0.0,S5 PC1 (p-factor),(a) observed prevalence,0.7390496532248282,0.0,0.6436781609195402,0.6363636363636364,0.1903435468895079
severity-targeted,0.0,S5 PC1 (p-factor),(b) fixed capacity 19%,0.7390496532248282,0.0,0.6436781609195402,0.6363636363636364,0.1903435468895079
severity-targeted,0.1,L1-LR supervised,labels,0.7445573510346642,0.0077981109967933775,0.7464132266432754,0.8221590909090911,0.1717734447539461
severity-targeted,0.1,S1 Robust Z-Score (MAD),(a) observed prevalence,0.7295534159180366,0.0,0.7191011235955057,0.7272727272727276,0.1717734447539461
severity-targeted,0.1,S1 Robust Z-Score (MAD),(b) fixed capacity 19%,0.7295534159180366,0.0,0.7191011235955056,0.7272727272727273,0.1717734447539461
severity-targeted,0.1,S3 Sum of z (distress),(a) observed prevalence,0.7710070604637808,0.0,0.6588235294117648,0.6363636363636364,0.1717734447539461
severity-targeted,0.1,S3 Sum of z (distress),(b) fixed capacity 19%,0.7710070604637808,0.0,0.6597222222222222,0.6477272727272727,0.1717734447539461
severity-targeted,0.1,S5 PC1 (p-factor),(a) observed prevalence,0.7390496532248282,0.0,0.6365740740740743,0.625,0.1717734447539461
