School,n,Cases,AUC,Recall,F2
17,30,1,0.6551724137931034,0.0,0.0
3,12,4,0.75,1.0,0.8333333333333334
1,35,7,0.8265306122448979,0.7142857142857143,0.6578947368421053
11,14,1,0.8461538461538461,1.0,0.7142857142857143
12,69,7,0.8548387096774194,0.7142857142857143,0.5681818181818182
19,29,4,0.8800000000000001,0.75,0.6521739130434783
5,49,7,0.8877551020408163,0.8571428571428571,0.7692307692307693
14,94,17,0.8899923605805959,0.6470588235294118,0.625
18,38,12,0.8942307692307692,0.9166666666666666,0.8461538461538461
6,106,21,0.895798319327731,0.8571428571428571,0.75
4,31,4,0.8981481481481481,1.0,0.8
2,64,15,0.9183673469387755,0.8666666666666667,0.7831325301204819
21,54,13,0.9212007504690432,0.8461538461538461,0.7857142857142857
7,84,21,0.9304610733182161,0.8571428571428571,0.7894736842105263
13,66,13,0.9390420899854862,1.0,0.8904109589041096
15,85,17,0.9506920415224914,0.9411764705882353,0.8421052631578947
10,32,6,0.9551282051282051,1.0,0.8571428571428571
16,55,14,0.9599303135888502,1.0,0.8860759493670886
20,68,17,0.9838523644752019,1.0,0.9139784946236559
8,39,1,1.0,1.0,0.45454545454545453
9,23,3,1.0,1.0,1.0
