Variable,Selection frequency,Sign consistency,Final model coef.,In final model
phq9_6_0,0.998,1.0,0.4084443829938997,True
phq9_1_0,0.997,1.0,0.3418262980890698,True
rps_5_0,0.993,1.0,-0.29513743529088426,True
beck_11_0,0.959,1.0,0.1954941768066963,True
erq_8_0,0.937,1.0,-0.1919204150607301,True
gad7_2_0,0.935,1.0,0.18735995762789348,True
cape-p15_1_2,0.911,1.0,0.1843642296936788,True
cape-p15_9_0,0.873,1.0,0.15955284597976743,True
cape-p15_10_0,0.84,1.0,0.13841901210306004,True
suicidio_familiar,0.823,1.0,0.10130802305360584,True
phq9_5_0,0.812,1.0,0.13013253260127552,True
cape-p15_12_0,0.808,1.0,0.11489562992381021,True
cape-p15_5_0,0.803,1.0,0.11148390897314514,True
tto_previo,0.759,1.0,0.07632750188614236,True
cape-p15_3_0,0.741,1.0,0.0997961711479928,True
rps_6_0,0.739,1.0,0.1043300234984271,True
phq9_8_0,0.729,1.0,0.07256506775395793,True
beck_2_0,0.69,1.0,0.08436179378114537,True
beck_9_0,0.677,1.0,0.07038971326380321,True
beck_14_0,0.66,1.0,0.07110250240114833,True
tto_familiar_previo,0.659,1.0,-0.03403566443125524,True
beck_18_0,0.647,1.0,0.06544635169508975,True
beck_6_0,0.624,1.0,0.04775036097453874,True
sui_familia,0.571,1.0,0.029987918083581273,True
phq9_2_0,0.525,1.0,0.022608821165829393,True
beck_16_0,0.519,1.0,0.03157049337694725,True
cape-p15_11_0,0.479,1.0,0.011746853970314951,True
cape-p15_15_0,0.477,1.0,1.1900398817667867e-05,True
beck_7_0,0.456,1.0,0.01222932620120115,True
cbt_7_0,0.429,1.0,-0.01461450773712142,True
erq_3_0,0.425,1.0,-0.02911614721373084,True
cbt_14_0,0.416,1.0,0.0009447257006187861,True
cape-p15_8_0,0.409,1.0,0.011248964416654472,True
beck_3_0,0.401,1.0,0.015676067817472814,True
cape-p15_4_0,0.393,1.0,0.0,False
erq_5_0,0.362,1.0,0.0,False
gad7_5_0,0.356,1.0,0.0,False
rps_1_0,0.343,1.0,0.0,False
cbt_2_0,0.307,1.0,0.0,False
rps_20_0,0.306,1.0,0.0,False
cbt_4_0,0.305,1.0,-0.014921634246654228,True
rps_21_0,0.298,1.0,0.0,False
rps_13_0,0.275,1.0,0.0,False
beck_1_0,0.269,1.0,0.0,False
cbt_12_0,0.253,1.0,0.0,False
rps_23_0,0.25,1.0,0.0,False
erq_1_0,0.24,1.0,0.0,False
rps_18_0,0.24,1.0,0.0,False
beck_19_0,0.234,0.9914529914529915,0.0,False
phq9_7_0,0.228,0.9912280701754386,0.0,False
beck_10_0,0.224,0.9821428571428571,0.0,False
cape-pe15_13_0,0.22,1.0,0.0,False
beck_4_0,0.216,0.9722222222222222,0.0,False
genero,0.213,1.0,0.0,False
rps_11_0,0.2,1.0,0.0,False
cape-p15_6_0,0.195,0.9487179487179487,0.0,False
nacionalidad,0.186,0.41935483870967744,0.0,False
rps_9_0,0.168,1.0,0.0,False
rps_25_0,0.163,0.9877300613496932,0.0,False
cbt_1_0,0.158,1.0,0.0,False
erq_2_0,0.147,1.0,0.0,False
repeticion,0.142,0.9577464788732394,0.0,False
beck_5_0,0.139,0.9424460431654677,0.0,False
cbt_6_0,0.139,0.9856115107913669,0.0,False
beck_13_0,0.115,0.9826086956521739,0.0,False
cbt_16_0,0.102,1.0,0.0,False
gad7_4_0,0.096,1.0,0.0,False
phq9_3_0,0.093,1.0,0.0,False
rps_17_0,0.09,0.9555555555555556,0.0,False
erq_6_0,0.089,0.9550561797752809,0.0,False
beck_12_0,0.081,0.9506172839506173,0.0,False
rps_15_0,0.078,1.0,0.0,False
cape-p15_7_0,0.078,0.9743589743589743,0.0,False
erq_10_0,0.073,1.0,0.0,False
erq_7_0,0.073,1.0,0.0,False
rps_2_0,0.072,0.8055555555555556,0.0,False
cbt_5_0,0.072,0.9166666666666666,0.0,False
beck_8_0,0.071,0.5492957746478874,0.0,False
rps_4_0,0.071,1.0,0.0,False
gad7_3_0,0.071,1.0,0.0,False
rps_19_0,0.065,0.9692307692307692,0.0,False
sexo,0.062,1.0,0.0,False
cbt_8_0,0.058,1.0,0.0,False
erq_4_0,0.057,0.5789473684210527,0.0,False
cbt_10_0,0.055,1.0,0.0,False
rps_10_0,0.051,0.7254901960784313,0.0,False
beck_15_0,0.05,0.88,0.0,False
edad,0.047,0.3617021276595745,0.0,False
rps_16_0,0.047,0.9574468085106383,0.0,False
cape-p15_14_0,0.046,0.4782608695652174,0.0,False
rps_8_0,0.043,0.8604651162790697,0.0,False
erq_9_0,0.042,0.19047619047619047,0.0,False
rps_7_0,0.041,1.0,0.0,False
rps_24_0,0.04,0.85,0.0,False
gad7_6_0,0.039,0.8461538461538461,0.0,False
rps_14_0,0.037,0.4594594594594595,0.0,False
cbt_3_0,0.034,0.5882352941176471,0.0,False
beck_20_0,0.033,0.09090909090909091,0.0,False
rps_22_0,0.032,0.6875,0.0,False
beck_17_0,0.03,0.5333333333333333,0.0,False
rps_12_0,0.028,0.9285714285714286,0.0,False
cbt_9_0,0.027,0.4074074074074074,0.0,False
phq9_4_0,0.021,0.5238095238095238,0.0,False
cape-p15_1_0,0.019,0.5789473684210527,0.0,False
gad7_7_0,0.016,0.0,0.0,False
gad7_1_0,0.012,0.6666666666666666,0.0,False
rps_3_0,0.01,0.4,0.0,False
cbt_11_0,0.007,0.42857142857142855,0.0,False
