Variable,Coefficient,Importance,Description,Questionnaire,Impact_Percentage,Odds_Ratio,OR_CI_95_low,OR_CI_95_high,Direction,Significativo_95
PHQ8_Item_6,0.4084443829939005,0.4084443829939005,"¿Te has sentido mal respecto a ti mismo/a o has sentido que tú eres un/a fracasado/a, o que has decepcionado/a a tu familia o a ti mismo/a?",Depresión/PHQ-9,11.73,1.689388867163201,1.1670516682360135,2.438160971867277,↑ Riesgo,Sí
PHQ8_Item_1,0.3418262980890693,0.3418262980890693,"¿Te has sentido bajoneado/a, deprimido/a, irritable o desesperanzado/a?",Depresión/PHQ-9,9.82,1.5003343211639086,1.0750044121326783,2.0959962761000144,↑ Riesgo,Sí
SPSIR_Item_5,-0.2951374352908854,0.2951374352908854,Creo que mis problemas pueden ser solucionados,Resolución de problemas/RPS,8.48,0.5877742827258953,0.4037383340044394,0.8567325302060859,↓ Protector,Sí
BHS_Item_11,0.1954941768066962,0.1954941768066962,Todo lo que puedo ver por delante de mí es más desagradable que agradable,Desesperanza/BHS,5.62,1.2631264882653435,0.9332307091205067,1.715280001212924,↑ Riesgo,No
ERQ_Item_8,-0.19192041506072913,0.19192041506072913,"Cuando me estoy sintiendo mal (por ejemplo, triste, enojado(a) o preocupado(a)), me preocupo de no mostrarlo",Regulación emocional/ERQ,5.51,0.6460126251245487,0.478498565396357,0.8681919406810553,↓ Protector,Sí
GAD7_Item_2,0.18735995762789334,0.18735995762789334,No poder parar o controlar la preocupación?,Ansiedad/GAD-7,5.38,1.2302506394494517,0.8621566983697477,1.7506069214691535,↑ Riesgo,No
CAPE15_Item_1,0.18436422969367902,0.18436422969367902,Ideación paranoide - ¿Has sentido como si algunas personas no son lo que parecen ser?,Experiencias psicóticas/CAPE-P15,5.3,1.5171366508751134,1.0809845397275073,2.2351092007965065,↑ Riesgo,Sí
CAPE15_Item_9,0.15955284597976732,0.15955284597976732,Experiencias bizarras - ¿Has tenido pensamientos tan intensos que te preocupó que otras personas pudieran oírlos?,Experiencias psicóticas/CAPE-P15,4.58,1.3475217346374226,0.9351609920350372,1.9898072756022094,↑ Riesgo,No
CAPE15_Item_10,0.13841901210305896,0.13841901210305896,Experiencias bizarras - ¿Sientes como si tus pensamientos se repitieran en tu mente como si fueran un eco?,Experiencias psicóticas/CAPE-P15,3.98,1.2054232813478492,0.8421013982476627,1.726071301648054,↑ Riesgo,No
PHQ8_Item_5,0.13013253260127508,0.13013253260127508,"¿Has sentido poco apetito, has bajado de peso o has comido excesivamente?",Depresión/PHQ-9,3.74,1.3110526163531764,0.9433607777804235,1.8815383262307603,↑ Riesgo,No
CAPE15_Item_12,0.11489562992381054,0.11489562992381054,"Experiencias bizarras - ¿Has sentido como si un doble hubiera tomado el lugar de un miembro de tu familia, amigo o conocido?",Experiencias psicóticas/CAPE-P15,3.3,1.2211572531750685,0.9031595442249071,1.644590167891794,↑ Riesgo,No
CAPE15_Item_5,0.11148390897314561,0.11148390897314561,Ideación paranoide - ¿Has sentido que la gente te mira extraño debido a tu apariencia?,Experiencias psicóticas/CAPE-P15,3.2,1.1917952272215935,0.8542320373907286,1.6198845077222312,↑ Riesgo,No
SPSIR_Item_6,0.10433002349842715,0.10433002349842715,Espero a que los problemas desaparezcan solos antes de hacer algo para resolverlos,Resolución de problemas/RPS,3.0,1.3187237325231302,0.9689675936229768,1.8351701415303316,↑ Riesgo,No
BIO_Family_Death,0.10130802305360606,0.10130802305360606,suicidio_familiar,Other,2.91,1.268402108244508,0.9378024350670644,1.6809884340184746,↑ Riesgo,No
CAPE15_Item_3,0.09979617114799219,0.09979617114799219,Ideación paranoide - ¿Has sentido como que te persiguen de alguna manera?,Experiencias psicóticas/CAPE-P15,2.87,1.1566177419609458,0.8181383157560888,1.626713618627874,↑ Riesgo,No
BHS_Item_2,0.08436179378114604,0.08436179378114604,"Puedo darme por vencido, renunciar, ya que no puedo hacer mejor las cosas por mí mismo",Desesperanza/BHS,2.42,1.1406296286119624,0.8746652730420061,1.5195847576919765,↑ Riesgo,No
BIO_Patient_Prior_Treatment,0.07632750188614212,0.07632750188614212,tto_previo,Other,2.19,1.2422915537949368,0.9271622495291364,1.6693198093903145,↑ Riesgo,No
PHQ8_Item_8,0.07256506775395709,0.07256506775395709,¿Te has movido o hablado tan lento que las otras personas podrían haberlo notado? O al contrario ¿Has estado tan inquieto/a que estabas moviéndote de un lado para otro mucho más de lo usual?,Depresión/PHQ-9,2.08,1.13542592587531,0.8130224846815933,1.5099115288650107,↑ Riesgo,No
BHS_Item_14,0.0711025024011483,0.0711025024011483,Las cosas no marchan como yo quisiera,Desesperanza/BHS,2.04,1.1891730667749083,0.8309424285139276,1.747919182696122,↑ Riesgo,No
BHS_Item_9,0.07038971326380213,0.07038971326380213,"No logro hacer que las cosas cambien, y no existen razones para creer que pueda en el futuro",Desesperanza/BHS,2.02,1.0713641646723104,0.7741893926667792,1.4566732408996546,↑ Riesgo,No
BHS_Item_18,0.06544635169509015,0.06544635169509015,El futuro me parece vago e incierto,Desesperanza/BHS,1.88,1.1550541074803435,0.8655588316504832,1.5117710639477429,↑ Riesgo,No
BHS_Item_6,0.04775036097453884,0.04775036097453884,"En el futuro, espero conseguir lo que me pueda interesar",Desesperanza/BHS,1.37,1.185931463299804,0.9246391347359468,1.510554078734289,↑ Riesgo,No
BIO_Family_Prior_Treatment,-0.034035664431254914,0.034035664431254914,tto_familiar_previo,Other,0.98,0.6821744251469808,0.50709456030939,0.9173453817571844,↓ Protector,Sí
BHS_Item_16,0.03157049337694687,0.03157049337694687,"Nunca consigo lo que deseo, por lo que es absurdo desear cualquier cosa",Desesperanza/BHS,0.91,1.0810971776230018,0.8316734306490464,1.3976888050923781,↑ Riesgo,No
BIO_Family_Attempt,0.029987918083581352,0.029987918083581352,sui_familia,Other,0.86,1.276195323632197,0.9026343822954239,1.7878149716847382,↑ Riesgo,No
ERQ_Item_3,-0.029116147213731413,0.029116147213731413,"Cuando quiero sentirme menos mal (por ejemplo, menos triste, enojado(a) o preocupado(a)), pienso en algo diferente",Regulación emocional/ERQ,0.84,0.8824385172480391,0.6363245869864484,1.2356200441045413,↓ Protector,No
PHQ8_Item_2,0.022608821165831655,0.022608821165831655,¿Has sentido poco interés o placer al hacer las cosas?,Depresión/PHQ-9,0.65,1.0295912001303469,0.723871931488819,1.4531583290112635,↑ Riesgo,No
BHS_Item_3,0.01567606781747296,0.01567606781747296,"Cuando las cosas van mal, me ayuda saber que no pueden permanecer así para siempre",Desesperanza/BHS,0.45,1.1017441844330724,0.82937352654463,1.4123785883335096,↑ Riesgo,No
CBTSQ_Item_4,-0.014921634246654183,0.014921634246654183,Motivarme haciendo cosas,Habilidades cognitivo-conductuales/CBT,0.43,0.8825395164109535,0.60334846758191,1.3000552125965126,↓ Protector,No
CBTSQ_Item_7,-0.014614507737121231,0.014614507737121231,Comunicar mis necesidades en forma efectiva,Habilidades cognitivo-conductuales/CBT,0.42,0.8123735042362202,0.5286239264090669,1.1957177127064802,↓ Protector,No
BHS_Item_7,0.012229326201200288,0.012229326201200288,Mi futuro me parece oscuro,Desesperanza/BHS,0.35,0.9898070811664079,0.7052120907868122,1.3296822456758317,↓ Protector,No
CAPE15_Item_11,0.011746853970315675,0.011746853970315675,Experiencias bizarras - ¿Has sentido como si estuvieras bajo el control de alguna fuerza o poder externo a ti?,Experiencias psicóticas/CAPE-P15,0.34,1.0785817185473812,0.7405929875277963,1.5330437372054533,↑ Riesgo,No
CAPE15_Item_8,0.011248964416653923,0.011248964416653923,Experiencias bizarras - ¿Has sentido como si tus pensamientos no fueran tuyos?,Experiencias psicóticas/CAPE-P15,0.32,0.9270320504495309,0.6414720177160731,1.2748722131749066,↓ Protector,No
cbt_14_0,0.0009447257006192704,0.0009447257006192704,Encontrar evidencia que apoye mis pensamientos antes de creérmelos,Habilidades cognitivo-conductuales/CBT,0.03,1.4948769483446247,1.1005163496703934,2.0627148533207227,↑ Riesgo,Sí
cape-p15_15_0,1.1900398817856965e-05,1.1900398817856965e-05,"Anomalías perceptuales - ¿Has vistos objetos, personas o animales que otros no pueden ver?",Experiencias psicóticas/CAPE-P15,0.0,1.0891668338779557,0.8450530034046805,1.4359393801681413,↑ Riesgo,No
